id;oficio;assunto;link_unico;link_trf;subsecao_judiciaria;turma_trf_1;numero_processo_administrativo;numero_processo_judicial_primeira_instancia;numero_processo_judicial_primeira_instancia_link;numero_processo_judicial_primeira_instancia_observacoes;parecer;folhas_processo_concessao_liminar;concessao_limnar_observacoes;folhas_processo_cassacao
1;task-force SMS generating;../fake-data/blob/hipster.txt;array;Serbia;Regional;Future;projection cultivate Incredible Rubber Salad;Investment Account;Sri Lanka Corporate;../fake-data/blob/hipster.txt;true;mobile;../fake-data/blob/hipster.txt;Organic
2;explicit;../fake-data/blob/hipster.txt;calculating Practical Executive;payment Credit Card Account Personal Loan Account;deposit innovative;Fish neural customer loyalty;Investment Account SSL generate;Analyst;Product payment Berkshire;../fake-data/blob/hipster.txt;false;bluetooth;../fake-data/blob/hipster.txt;Cambridgeshire Towels
3;Malta Cotton withdrawal;../fake-data/blob/hipster.txt;Intelligent Frozen Hat;intranet;Paradigm deposit Toys;Armenian Dram SMTP demand-driven;innovative world-class;Wooden Delaware Rubber;Rand Namibia Dollar back-end invoice;../fake-data/blob/hipster.txt;true;solution-oriented dot-com;../fake-data/blob/hipster.txt;Avon
4;compressing Rustic Home Loan Account;../fake-data/blob/hipster.txt;Dynamic array;Investor Isle digital;Decentralized;Small Investment Account RAM;Montana;Applications Coordinator;users hardware;../fake-data/blob/hipster.txt;false;Electronics system Ohio;../fake-data/blob/hipster.txt;New Jersey mindshare
5;Handcrafted;../fake-data/blob/hipster.txt;IB Home Loan Account;target;Personal Loan Account Security;mindshare Ways;models heuristic;Marketing firewall Factors;Home Loan Account Investment Account;../fake-data/blob/hipster.txt;false;Response;../fake-data/blob/hipster.txt;microchip
6;Direct Creative;../fake-data/blob/hipster.txt;Clothing synthesize;optical Soft;flexibility Berkshire;transition transparent Central;infrastructures;Austria utilize;olive Grocery Ergonomic Frozen Pizza;../fake-data/blob/hipster.txt;false;Japan Illinois Kids;../fake-data/blob/hipster.txt;hacking Assimilated
7;Cordoba Oro teal;../fake-data/blob/hipster.txt;Central parse;open-source;Associate maroon Senior;Cliffs;orchestrate copying;solution synthesize conglomeration;Bedfordshire;../fake-data/blob/hipster.txt;true;turn-key Plastic;../fake-data/blob/hipster.txt;turquoise
8;Director;../fake-data/blob/hipster.txt;Street Course;Chilean Peso Unidades de fomento;Comoro Franc reintermediate Fords;framework;calculating;yellow Tasty;Clothing;../fake-data/blob/hipster.txt;true;Secured Moldova Row;../fake-data/blob/hipster.txt;Digitized intranet
9;Buckinghamshire Rubber systems;../fake-data/blob/hipster.txt;Games olive Fresh;Factors invoice;North Dakota Fresh Investment Account;Table Consultant;Ridges;Music Tasty Cotton Chips;grey;../fake-data/blob/hipster.txt;false;Practical Soft Soap;../fake-data/blob/hipster.txt;knowledge base
10;Music;../fake-data/blob/hipster.txt;Garden;Personal Loan Account protocol;Soft scale;Frozen;Auto Loan Account Soft;SMS Direct invoice;Somali Shilling;../fake-data/blob/hipster.txt;true;Checking Account deposit Rubber;../fake-data/blob/hipster.txt;Greens Computer
